2024-11-09 08:48:29,074 - Method: POST, Path: /login, Status Code: 200, Response Time: 2.293 seconds, Client IP: 127.0.0.1
2024-11-09 08:48:44,638 - Method: GET, Path: /, Status Code: 200, Response Time: 1.348 seconds, Client IP: 127.0.0.1
2024-11-09 08:48:47,603 - Method: GET, Path: /, Status Code: 200, Response Time: 1.394 seconds, Client IP: 127.0.0.1
2024-11-09 08:48:50,471 - Method: GET, Path: /, Status Code: 200, Response Time: 1.496 seconds, Client IP: 127.0.0.1
2024-11-09 10:03:53,595 - Method: POST, Path: /login, Status Code: 200, Response Time: 2.036 seconds, Client IP: 127.0.0.1
2024-11-09 10:04:08,871 - Method: GET, Path: /, Status Code: 200, Response Time: 1.342 seconds, Client IP: 127.0.0.1
2024-11-09 10:04:38,230 - Method: DELETE, Path: /delete/672e377d3b89d4ff19998aa5, Status Code: 403, Response Time: 1.046 seconds, Client IP: 127.0.0.1
2024-11-09 10:28:36,377 - Method: GET, Path: /, Status Code: 200, Response Time: 1.506 seconds, Client IP: 127.0.0.1
2024-11-09 11:44:13,764 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.326 seconds, Client IP: 127.0.0.1
2024-11-09 11:44:33,131 - Method: GET, Path: /, Status Code: 200, Response Time: 0.804 seconds, Client IP: 127.0.0.1
2024-11-09 11:48:03,338 - Method: POST, Path: /upload/672d92d45f033d19f23c9c4b, Status Code: 404, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 11:48:20,032 - Method: POST, Path: /upload/672d92d45f033d19f23c9c4b, Status Code: 422, Response Time: 0.398 seconds, Client IP: 127.0.0.1
2024-11-09 11:50:07,503 - Method: POST, Path: /upload/672d92d45f033d19f23c9c4b, Status Code: 422, Response Time: 0.164 seconds, Client IP: 127.0.0.1
2024-11-09 12:46:40,958 - Method: POST, Path: /upload/672d92d45f033d19f23c9c4b, Status Code: 401, Response Time: 0.177 seconds, Client IP: 127.0.0.1
2024-11-09 12:46:55,823 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.110 seconds, Client IP: 127.0.0.1
